set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs,F_true
1,0,5.75,1.82,0.343,-0.172,7.5,0.167341,0.00737808,0.04409,2.4476,-0.558584,-0.396272,0.0290251,0.170109
1,1,5.75,1.82,0.343,-0.172,22.5,0.162728,0.00647659,0.0398,2.4476,-0.558584,-0.396272,0.0290251,0.161834
1,2,5.75,1.82,0.343,-0.172,37.5,0.143589,0.00604223,0.04208,2.4476,-0.558584,-0.396272,0.0290251,0.14746
1,3,5.75,1.82,0.343,-0.172,52.5,0.132465,0.00557411,0.04208,2.4476,-0.558584,-0.396272,0.0290251,0.130172
1,4,5.75,1.82,0.343,-0.172,67.5,0.112411,0.00458861,0.04082,2.4476,-0.558584,-0.396272,0.0290251,0.112821
1,5,5.75,1.82,0.343,-0.172,82.5,0.102737,0.00438582,0.04269,2.4476,-0.558584,-0.396272,0.0290251,0.0972461
1,6,5.75,1.82,0.343,-0.172,97.5,0.0869534,0.00403725,0.04643,2.4476,-0.558584,-0.396272,0.0290251,0.0842814
1,7,5.75,1.82,0.343,-0.172,112.5,0.0678444,0.00321379,0.04737,2.4476,-0.558584,-0.396272,0.0290251,0.0740797
1,8,5.75,1.82,0.343,-0.172,127.5,0.0682084,0.003274,0.048,2.4476,-0.558584,-0.396272,0.0290251,0.0664468
1,9,5.75,1.82,0.343,-0.172,142.5,0.0632805,0.00318301,0.0503,2.4476,-0.558584,-0.396272,0.0290251,0.0610751
1,10,5.75,1.82,0.343,-0.172,157.5,0.0491166,0.00248039,0.0505,2.4476,-0.558584,-0.396272,0.0290251,0.057673
1,11,5.75,1.82,0.343,-0.172,172.5,0.0534941,0.00266936,0.0499,2.4476,-0.558584,-0.396272,0.0290251,0.0560273
1,12,5.75,1.82,0.343,-0.172,187.5,0.0578564,0.00287488,0.04969,2.4476,-0.558584,-0.396272,0.0290251,0.0560273
1,13,5.75,1.82,0.343,-0.172,202.5,0.0639174,0.00302777,0.04737,2.4476,-0.558584,-0.396272,0.0290251,0.057673
1,14,5.75,1.82,0.343,-0.172,217.5,0.0590687,0.00295875,0.05009,2.4476,-0.558584,-0.396272,0.0290251,0.0610751
1,15,5.75,1.82,0.343,-0.172,232.5,0.0622976,0.00297969,0.04783,2.4476,-0.558584,-0.396272,0.0290251,0.0664468
1,16,5.75,1.82,0.343,-0.172,247.5,0.0725169,0.00342135,0.04718,2.4476,-0.558584,-0.396272,0.0290251,0.0740797
1,17,5.75,1.82,0.343,-0.172,262.5,0.086922,0.00396712,0.04564,2.4476,-0.558584,-0.396272,0.0290251,0.0842814
1,18,5.75,1.82,0.343,-0.172,277.5,0.0880908,0.00384693,0.04367,2.4476,-0.558584,-0.396272,0.0290251,0.0972461
1,19,5.75,1.82,0.343,-0.172,292.5,0.110439,0.00469808,0.04254,2.4476,-0.558584,-0.396272,0.0290251,0.112821
1,20,5.75,1.82,0.343,-0.172,307.5,0.130166,0.00516888,0.03971,2.4476,-0.558584,-0.396272,0.0290251,0.130172
1,21,5.75,1.82,0.343,-0.172,322.5,0.145283,0.00577792,0.03977,2.4476,-0.558584,-0.396272,0.0290251,0.14746
1,22,5.75,1.82,0.343,-0.172,337.5,0.167773,0.00704478,0.04199,2.4476,-0.558584,-0.396272,0.0290251,0.161834
1,23,5.75,1.82,0.343,-0.172,352.5,0.166691,0.00704271,0.04225,2.4476,-0.558584,-0.396272,0.0290251,0.170109
2,0,5.75,1.933,0.368,-0.232,7.5,0.125048,0.00819565,0.06554,2.20725,-0.666374,-0.342787,0.0248174,0.126032
2,1,5.75,1.933,0.368,-0.232,22.5,0.115844,0.0074974,0.06472,2.20725,-0.666374,-0.342787,0.0248174,0.117747
2,2,5.75,1.933,0.368,-0.232,37.5,0.0903871,0.00562569,0.06224,2.20725,-0.666374,-0.342787,0.0248174,0.10413
